product name,product category,qty in stock,price
Smartphone Max 41,Electronics,33,207.2
Tablet Plus 85,Electronics,59,70.35
Smartwatch Lite 74,Electronics,82,63.69
Chef Knife Set Classic 38,Home & Kitchen,124,184.98
Wireless Headphones Classic 53,Electronics,40,227.45
Denim Jacket Plus 58,Apparel,44,60.25
Baseball Cap Max 15,Apparel,206,74.31
Gaming Mouse Plus 80,Electronics,42,1083.33
Sleeping Bag Premium 34,Sports & Outdoors,195,42.93
Vacuum Cleaner Plus 39,Home & Kitchen,35,126.43
Face Serum Ultra 57,Beauty & Personal Care,211,23.59
Denim Jacket Premium 91,Apparel,63,84.77
Air Fryer Elite 58,Home & Kitchen,79,297.06
Resistance Bands v2 17,Sports & Outdoors,73,372.04
Wool Socks Max 18,Apparel,74,137.83
Sleeping Bag Lite 93,Sports & Outdoors,142,185.59
Electric Toothbrush Max 27,Beauty & Personal Care,156,68.57
Camping Tent Premium 64,Sports & Outdoors,164,187.24
Air Fryer Standard 73,Home & Kitchen,33,231.61
Wireless Headphones Ultra 97,Electronics,59,787.43
Shampoo Premium 69,Beauty & Personal Care,300,27.11
Yoga Mat Plus 97,Sports & Outdoors,152,341.01
Denim Jacket Max 65,Apparel,60,73.51
Backpack Ultra 74,Apparel,47,131.86
Backpack Premium 35,Apparel,59,62.34
Chef Knife Set Standard 10,Home & Kitchen,92,156.8
4K Monitor Max 40,Electronics,12,335.9
Water Bottle Plus 72,Sports & Outdoors,32,440.37
Dumbbell Set Ultra 94,Sports & Outdoors,136,426.75
Vacuum Cleaner Standard 87,Home & Kitchen,118,290.01
Resistance Bands Max 61,Sports & Outdoors,186,296.82
Lip Balm Elite 25,Beauty & Personal Care,156,24.86
Cotton T-Shirt Premium 80,Apparel,78,92.37
Laptop Pro 39,Electronics,13,1179.87
Denim Jacket Standard 40,Apparel,91,103.65
Chef Knife Set Ultra 83,Home & Kitchen,131,88.03
Shampoo Lite 22,Beauty & Personal Care,79,61.34
Wool Socks Classic 69,Apparel,241,112.06
Smartphone Classic 53,Electronics,107,1124.31
Toaster Oven Lite 78,Home & Kitchen,124,59.24
Vacuum Cleaner Elite 41,Home & Kitchen,29,144.07
Water Bottle Pro 93,Sports & Outdoors,153,378.26
